sigma,s,alpha,det_mean,det_std,kappa_T,g_posdef,phi_norm_mean,phi_norm_std,y_rank,m2_over_m3,m1_over_m3,stable,notes
0.7,0.7,-0.2,2.031249999995214,6.732922586171752,0.5456322891006026,True,6.5463328469114,5.164635300506885,,,,False,kappa=0.5456; norm=6.5463
0.7,0.7,0.0,2.031249999995214,3.832267576832237,0.46663473972110986,True,5.207362665607378,3.4364508516782704,,,,False,kappa=0.4666; norm=5.2074
0.7,0.7,0.2,2.0312499999952136,5.082423751898509,0.7249071346721614,True,10.115820106295871,7.117972080398115,,,,False,kappa=0.7249; norm=10.1158
0.7,1.0,-0.2,2.031249999995214,8.811926414466187,1.3662532151923727,True,15.732893976260657,14.10161512915674,,,,False,kappa=1.3663; norm=15.7329
0.7,1.0,0.0,2.031249999995216,4.53937248270745,0.8680142084887332,True,11.772108239901199,9.272109456253368,,,,False,kappa=0.8680; norm=11.7721
0.7,1.0,0.2,2.0312499999952136,5.507095664650409,2.9096754606194386,True,26.78015629198861,22.90598987719571,,,,True,stable
0.7,1.3,-0.2,2.0312499999952163,9.919053889335784,3.9436666578365527,True,34.45016097602356,34.47865405420173,,,,True,stable
0.7,1.3,0.0,2.0312499999952145,4.761348870852001,2.4150499108497026,True,23.62404072700857,21.293266541660387,,,,False,norm=23.6240
0.7,1.3,0.2,2.0312499999952154,5.636274298810785,7.5781519235191,True,59.913851319337965,57.75463302637404,,,,False,kappa=7.5782; norm=59.9139
1.0,0.7,-0.2,2.031249999995214,8.811926414466187,1.3662532151923727,True,15.732893976260657,14.10161512915674,,,,False,kappa=1.3663; norm=15.7329
1.0,0.7,0.0,2.031249999995216,4.53937248270745,0.8680142084887332,True,11.772108239901199,9.272109456253368,,,,False,kappa=0.8680; norm=11.7721
1.0,0.7,0.2,2.0312499999952136,5.507095664650409,2.9096754606194386,True,26.78015629198861,22.90598987719571,,,,True,stable
1.0,1.0,-0.2,2.031249999995213,10.388119983259916,5.709951605068196,True,46.89727511417077,50.101411879531405,,,,False,kappa=5.7100; norm=46.8973
1.0,1.0,0.0,2.0312499999952136,4.806566134706525,3.419749812620379,True,30.785343365111515,28.913421376507944,,,,True,stable
1.0,1.0,0.2,2.0312499999952163,5.672403803179608,10.492892592684267,True,80.40825823080517,78.69732958186118,,,,False,kappa=10.4929; norm=80.4083
1.0,1.3,-0.2,2.031249999995215,11.954907795078599,15.288874262064706,True,114.02211983445294,142.00921717863235,,,,False,kappa=15.2889; norm=114.0221
1.0,1.3,0.0,2.031249999995216,4.957847220980892,8.737986247235744,True,68.15565420973122,71.75230374036825,,,,False,kappa=8.7380; norm=68.1557
1.0,1.3,0.2,2.0312499999952145,5.8319836858008935,26.105047137362373,True,189.73532996153662,198.65325713414916,,,,False,kappa=26.1050; norm=189.7353
1.3,0.7,-0.2,2.0312499999952163,9.919053889335784,3.9436666578365527,True,34.45016097602356,34.47865405420173,,,,True,stable
1.3,0.7,0.0,2.0312499999952145,4.761348870852001,2.4150499108497026,True,23.62404072700857,21.293266541660387,,,,False,norm=23.6240
1.3,0.7,0.2,2.0312499999952154,5.636274298810785,7.5781519235191,True,59.913851319337965,57.75463302637404,,,,False,kappa=7.5782; norm=59.9139
1.3,1.0,-0.2,2.031249999995215,11.954907795078599,15.288874262064706,True,114.02211983445294,142.00921717863235,,,,False,kappa=15.2889; norm=114.0221
1.3,1.0,0.0,2.031249999995216,4.957847220980892,8.737986247235744,True,68.15565420973122,71.75230374036825,,,,False,kappa=8.7380; norm=68.1557
1.3,1.0,0.2,2.0312499999952145,5.8319836858008935,26.105047137362373,True,189.73532996153662,198.65325713414916,,,,False,kappa=26.1050; norm=189.7353
1.3,1.3,-0.2,2.0312499999952154,13.62083175389078,40.23193953731304,True,288.62357676119126,400.37472037577714,,,,False,kappa=40.2319; norm=288.6236
1.3,1.3,0.0,2.031249999995214,5.272904904546186,23.05029833538182,True,168.35208834767275,223.10479764869783,,,,False,kappa=23.0503; norm=168.3521
1.3,1.3,0.2,2.0312499999952145,6.136971942718859,69.26468768819211,True,491.8528138173448,623.2669749177539,,,,False,kappa=69.2647; norm=491.8528
