sigma,s,alpha,det_mean,det_std,kappa_T,g_posdef,phi_norm_mean,phi_norm_std,y_rank,m2_over_m3,m1_over_m3,stable,notes
0.6,0.6,-0.3,2.0312499999133453,4.790135711605833,0.553490911797861,True,5.299136227939327,4.555896254825605,,,,False,kappa=0.5535; norm=5.2991
0.6,0.6,-0.15,2.0312499999133458,3.3645056192198926,0.5966435279906616,True,3.37152284614698,2.6514737320494803,,,,False,kappa=0.5966; norm=3.3715
0.6,0.6,0.0,2.0312499999133458,3.069635718771321,0.6175555146564994,True,3.0677600904347146,2.2260363892327697,,,,False,kappa=0.6176; norm=3.0678
0.6,0.6,0.15,2.031249999913347,4.723418945514595,0.5168437569583999,True,4.3633845730501815,3.070469038010939,,,,False,kappa=0.5168; norm=4.3634
0.6,0.6,0.3,2.0312499999133458,5.266669430465149,0.5219544504910799,True,7.467323225906386,5.450818806396306,,,,False,kappa=0.5220; norm=7.4673
0.6,0.8,-0.3,2.0312499999133458,6.611978587716922,0.8460341745048289,True,9.61774073546333,9.875019687945647,,,,False,kappa=0.8460; norm=9.6177
0.6,0.8,-0.15,2.0312499999133453,4.830727407693395,0.5477872332666426,True,5.446766513474746,5.315193743238474,,,,False,kappa=0.5478; norm=5.4468
0.6,0.8,0.0,2.0312499999133466,4.026749987851543,0.5312605180556251,True,5.131649734397591,4.67317291959355,,,,False,kappa=0.5313; norm=5.1316
0.6,0.8,0.15,2.0312499999133458,5.413139277137355,0.5651440210275338,True,8.276886676350355,7.189528341635755,,,,False,kappa=0.5651; norm=8.2769
0.6,0.8,0.3,2.0312499999133466,5.71058499624107,1.4966284022471223,True,15.692879974079915,13.663287473567248,,,,False,kappa=1.4966; norm=15.6929
0.6,1.0,-0.3,2.0312499999133458,8.020687185317074,1.6778141133427578,True,17.46191781639844,21.00054403911484,,,,False,kappa=1.6778; norm=17.4619
0.6,1.0,-0.15,2.031249999913346,6.03593047380347,0.6895031352785261,True,9.049905463830443,10.630830618593269,,,,False,kappa=0.6895; norm=9.0499
0.6,1.0,0.0,2.0312499999133466,4.574420645416018,0.6137415217468176,True,8.528944549869742,9.416417523268649,,,,False,kappa=0.6137; norm=8.5289
0.6,1.0,0.15,2.0312499999133458,5.718604477084531,1.3130851786173898,True,14.866092133536716,15.053724244716376,,,,False,kappa=1.3131; norm=14.8661
0.6,1.0,0.3,2.0312499999133475,5.873781080591832,3.4110923400553217,True,30.022102625517086,29.041888453060903,,,,True,stable
0.6,1.2,-0.3,2.0312499999133466,9.659549777482274,3.454415022613463,True,30.77545799286443,42.78167140260527,,,,True,stable
0.6,1.2,-0.15,2.0312499999133475,7.233248264072603,1.2781498429923455,True,14.886040159115385,20.498839424218346,,,,False,kappa=1.2781; norm=14.8860
0.6,1.2,0.0,2.031249999913346,4.8486391732429865,1.1522515049035162,True,13.84565637334138,17.662656808938124,,,,False,kappa=1.1523; norm=13.8457
0.6,1.2,0.15,2.0312499999133466,5.840694315636917,2.713809421920957,True,25.330508527925424,28.807409324734934,,,,False,norm=25.3305
0.6,1.2,0.3,2.0312499999133458,5.934766272133241,6.700012881314668,True,53.490521695644226,55.834601631606446,,,,False,kappa=6.7000; norm=53.4905
0.6,1.4,-0.3,2.031249999913347,11.598322477618835,6.398553820981241,True,51.64284516128706,81.82554900437563,,,,False,norm=51.6428
0.6,1.4,-0.15,2.031249999913348,8.716711570733974,2.436511515185919,True,23.679308761989255,36.842363210749284,,,,False,norm=23.6793
0.6,1.4,0.0,2.0312499999133466,4.994607412045221,2.1763072999187387,True,21.651366725903173,30.87075345176075,,,,False,norm=21.6514
