Observable,Formula,LaTeX,GIFT_Value,Target_Value,Deviation_%,Deviation_Abs,Complexity,Category,Confidence
m_s_m_d,40/2,\frac{40}{2},20.0,20.0,0.0,0.0,1,simple_rational,HIGH
m_s_m_d,20,20,20.0,20.0,0.0,0.0,0,exact_integer,HIGH
m_s_m_d,80/4,\frac{80}{4},20.0,20.0,0.0,0.0,1,simple_rational,HIGH
m_s_m_d,60/3,\frac{60}{3},20.0,20.0,0.0,0.0,1,simple_rational,HIGH
sin2_theta_W_GUT,6/16,\frac{6}{16},0.375,0.375,0.0,0.0,1,simple_rational,HIGH
sin2_theta_W_GUT,3/8,\frac{3}{8},0.375,0.375,0.0,0.0,1,simple_rational,HIGH
Q_Koide,4/6,\frac{4}{6},0.6666666666666666,0.6667,0.004999750012498825,3.333333333332966e-05,1,simple_rational,HIGH
Q_Koide,2/3,\frac{2}{3},0.6666666666666666,0.6667,0.004999750012498825,3.333333333332966e-05,1,simple_rational,HIGH
Q_Koide,8/12,\frac{8}{12},0.6666666666666666,0.6667,0.004999750012498825,3.333333333332966e-05,1,simple_rational,HIGH
Q_Koide,6/9,\frac{6}{9},0.6666666666666666,0.6667,0.004999750012498825,3.333333333332966e-05,1,simple_rational,HIGH
Q_Koide,12/18,\frac{12}{18},0.6666666666666666,0.6667,0.004999750012498825,3.333333333332966e-05,1,simple_rational,HIGH
Q_Koide,10/15,\frac{10}{15},0.6666666666666666,0.6667,0.004999750012498825,3.333333333332966e-05,1,simple_rational,HIGH
n_s,ζ(11)/ζ(5),ζ(11)/ζ(5),0.9648639296628596,0.9648,0.00662620883702515,6.392966285961865e-05,2,zeta_ratio,HIGH
alpha_inv_MZ,128,128,128.0,127.955,0.0351686139658487,0.045000000000001705,0,exact_integer,MEDIUM
H0,73,73,73.0,73.04,0.05476451259584645,0.04000000000000625,0,exact_integer,MEDIUM
m_mu_m_e,207,207,207.0,206.768,0.11220304882767126,0.23199999999999932,0,exact_integer,MEDIUM
n_s,ζ(9)/ζ(5),ζ(9)/ζ(5),0.966324209045345,0.9648,0.15798186622564303,0.0015242090453450041,2,zeta_ratio,MEDIUM
sin2_theta_W,3/13,\frac{3}{13},0.23076923076923078,0.23121,0.1906358854587677,0.0004407692307692168,1,simple_rational,MEDIUM
Omega_DE,11/16,\frac{11}{16},0.6875,0.6889,0.20322252866888618,0.0013999999999999568,1,simple_rational,MEDIUM
delta_CP,19/14,\frac{19}{14},1.3571428571428572,1.36,0.21008403361344788,0.0028571428571428914,1,simple_rational,MEDIUM
alpha_s,2/17,\frac{2}{17},0.11764705882352941,0.1179,0.21453874170533896,0.00025294117647059466,1,simple_rational,MEDIUM
delta_CP,15/11,\frac{15}{11},1.3636363636363635,1.36,0.2673796791443704,0.0036363636363634377,1,simple_rational,MEDIUM
sin2_theta_23,10/18,\frac{10}{18},0.5555555555555556,0.558,0.43807248108323854,0.0024444444444444713,1,simple_rational,MEDIUM
sin2_theta_23,5/9,\frac{5}{9},0.5555555555555556,0.558,0.43807248108323854,0.0024444444444444713,1,simple_rational,MEDIUM
Omega_DM,ζ(7)/τ,\zeta(7) / τ,0.25876705246177795,0.26,0.47421059162387014,0.0012329475382220623,2,zeta7_division,MEDIUM
Omega_DE,9/13,\frac{9}{13},0.6923076923076923,0.6889,0.49465703406769257,0.0034076923076923338,1,simple_rational,MEDIUM
delta_CP,23/17,\frac{23}{17},1.3529411764705883,1.36,0.5190311418685135,0.007058823529411784,1,simple_rational,MEDIUM
delta_CP,26/19,\frac{26}{19},1.368421052631579,1.36,0.6191950464396239,0.008421052631578885,1,simple_rational,MEDIUM
Omega_DE,13/19,\frac{13}{19},0.6842105263157895,0.6889,0.6807190715939129,0.004689473684210466,1,simple_rational,MEDIUM
delta_CP,27/20,\frac{27}{20},1.35,1.36,0.7352941176470594,0.010000000000000009,1,simple_rational,MEDIUM
sin2_theta_12,4/13,\frac{4}{13},0.3076923076923077,0.31,0.7444168734491252,0.0023076923076922884,1,simple_rational,MEDIUM
n_s,ζ(7)/ζ(5),ζ(7)/ζ(5),0.972439277838121,0.9648,0.7917991125747323,0.007639277838121017,2,zeta_ratio,MEDIUM
sin2_theta_23,9/16,\frac{9}{16},0.5625,0.558,0.8064516129032164,0.0044999999999999485,1,simple_rational,MEDIUM
sin2_theta_12,5/16,\frac{5}{16},0.3125,0.31,0.8064516129032264,0.0025000000000000022,1,simple_rational,MEDIUM
m_s_m_d,99/5,\frac{99}{5},19.8,20.0,0.9999999999999963,0.1999999999999993,1,simple_rational,MEDIUM
sin2_theta_W_GUT,ζ(7)/e,\zeta(7) / e,0.37095096866888944,0.375,1.0797416882961506,0.004049031331110564,2,zeta7_division,LOW
alpha_s,(ζ(7)×γ)/Weyl,(\zeta(7) \times γ) / Weyl,0.11640699971939734,0.1179,1.2663276340989487,0.0014930002806026604,3,zeta7_composite,LOW
Omega_DE,ζ(7)×ln(2),\zeta(7) \times ln(2),0.6989344586369379,0.6889,1.456591470015673,0.01003445863693797,2,zeta7_multiplicative,LOW
n_s,1/ζ(7),1/\zeta(7),0.9917198558384445,0.9648,2.790200646604941,0.026919855838444473,1,zeta7_inverse,LOW
sin2_theta_12,ζ(7)/π,\zeta(7) / π,0.3209675437169474,0.31,3.5379173280475533,0.010967543716947414,2,zeta7_division,LOW
n_s,ζ(7)^(1/3),\zeta(7)^{0.3333333333333333},1.002775382586117,0.9648,3.9360885765046634,0.03797538258611699,2,zeta7_power,LOW
n_s,ζ(7)^(1/2),\zeta(7)^{0.5},1.0041659610751217,0.9648,4.080219846094703,0.03936596107512169,2,zeta7_power,LOW
sin2_theta_23,ζ(7)×γ,\zeta(7) \times γ,0.5820349985969867,0.558,4.307347418814812,0.024034998596986656,2,zeta7_multiplicative,LOW
Q_Koide,ζ(7)×ln(2),\zeta(7) \times ln(2),0.6989344586369379,0.6667,4.834927049188236,0.03223445863693797,2,zeta7_multiplicative,LOW
Q_Koide,(ζ(7)×π)/Weyl,(\zeta(7) \times π) / Weyl,0.633564536415125,0.6667,4.970071034179535,0.03313546358487496,3,zeta7_composite,LOW
