observable,formula,experimental,theoretical,deviation_pct,binary_repr,category
alpha_inv,34259/250,137.036,137.036,0.0,10001001.00001001001101110100,rational_approximation
theta_12,836/25,33.44,33.44,0.0,100001.01110000101000111101,rational_approximation
theta_13,857/100,8.57,8.57,0.0,1000.10010001111010111000,rational_approximation
theta_23,246/5,49.2,49.2,0.0,110001.00110011001100110011,rational_approximation
delta_CP,394/2^1,197.0,197.0,0.0,11000101,dyadic_rational
delta_CP,197/1,197.0,197.0,0.0,11000101,binary_rational
m_mu_over_me,25846/125,206.768,206.768,0.0,11001110.11000100100110111010,rational_approximation
m_tau_over_me,69543/20,3477.15,3477.15,0.0,110110010101.00100110011001100110,rational_approximation
m_u,54/25,2.16,2.16,0.0,10.00101000111101011100,rational_approximation
m_d,467/100,4.67,4.67,0.0,100.10101011100001010001,rational_approximation
m_s,467/5,93.4,93.4,0.0,1011101.01100110011001100110,rational_approximation
m_c,2540/2^1,1270.0,1270.0,0.0,10011110110,dyadic_rational
m_c,1270/1,1270.0,1270.0,0.0,10011110110,binary_rational
m_b,8360/2^1,4180.0,4180.0,0.0,1000001010100,dyadic_rational
m_b,4180/1,4180.0,4180.0,0.0,1000001010100,binary_rational
m_t,345000/2^1,172500.0,172500.0,0.0,101010000111010100,dyadic_rational
m_t,172500/1,172500.0,172500.0,0.0,101010000111010100,binary_rational
m_s_over_md,40/2^1,20.0,20.0,0.0,10100,dyadic_rational
m_s_over_md,20/1,20.0,20.0,0.0,10100,binary_rational
m_b_over_mu,193519/100,1935.19,1935.19,0.0,11110001111.00110000101000111101,rational_approximation
m_c_over_md,13597/50,271.94,271.94,0.0,100001111.11110000101000111101,rational_approximation
m_d_over_mu,1081/500,2.162,2.162,0.0,10.00101001011110001101,rational_approximation
m_c_over_ms,68/5,13.6,13.6,0.0,1101.10011001100110011001,rational_approximation
m_t_over_mc,13583/100,135.83,135.83,0.0,10000111.11010100011110101110,rational_approximation
m_b_over_md,89507/100,895.07,895.07,0.0,1101111111.00010001111010111000,rational_approximation
m_b_over_mc,329/100,3.29,3.29,0.0,11.01001010001111010111,rational_approximation
m_t_over_ms,184689/100,1846.89,1846.89,0.0,11100110110.11100011110101110000,rational_approximation
m_b_over_ms,1119/25,44.76,44.76,0.0,101100.11000010100011110101,rational_approximation
theta_C,326/25,13.04,13.04,0.0,1101.00001010001111010111,rational_approximation
v_EW,12311/50,246.22,246.22,0.0,11110110.00111000010100011110,rational_approximation
m_H,501/2^2,125.25,125.25,0.0,1111101.01,dyadic_rational
m_H,501/4,125.25,125.25,0.0,1111101.01,binary_rational
