observable,obs_key,formula,experimental,theoretical,deviation_pct,phi_power,scaling
m_s/m_d,m_s_m_d,20×φ^0,20.0,20.0,0.0,0.0,20.0
m_s/m_d,m_s_m_d,20×(φ-1)^0,20.0,20.0,0.0,0.0,
Q_Koide,Q_Koide,F_3/F_4,0.6667,0.6666666666666666,0.004999750012498825,,
m_d,m_d,φ^0×δ_F^1,4.67,4.66920160910299,0.017096164818190672,0.0,
m_c/m_s,m_c_m_s,22×(φ-1)^1,13.6,13.596747752497686,0.02391358457583504,-1.0,
m_c/m_s,m_c_m_s,22×φ^-1,13.6,13.596747752497686,0.02391358457583504,-1.0,22.0
α⁻¹,alpha_inv,T_11/T_3,137.036,137.0,0.026270469073821013,,
m_d,m_d,32×φ^-4,4.67,4.668737080010094,0.027043254601844337,-4.0,32.0
m_d,m_d,32×(φ-1)^4,4.67,4.668737080010093,0.027043254601863354,-4.0,
α⁻¹,alpha_inv,20×φ^4,137.036,137.0820393249937,0.033596518428515056,4.0,20.0
α⁻¹,alpha_inv,20×(φ-1)^-4,137.036,137.08203932499376,0.033596518428556536,4.0,
n_s,n_s,φ^0/ζ(5),0.9649,0.9643873404292624,0.05313084990543468,0.0,
Ω_DM,Omega_DM,φ^2×δ_F^-2,0.12,0.12008534979629647,0.07112483024705972,2.0,
m_d/m_u,m_d_m_u,24×(φ-1)^5,2.162,2.1640786499873808,0.09614477277432154,-5.0,
m_d/m_u,m_d_m_u,24×φ^-5,2.162,2.164078649987381,0.0961447727743421,-5.0,24.0
m_u,m_u,24×(φ-1)^5,2.16,2.1640786499873808,0.18882638830465792,-5.0,
m_u,m_u,24×φ^-5,2.16,2.164078649987381,0.1888263883046785,-5.0,24.0
sin²θ_W,sin2_theta_W,F_4/F_7,0.23122,0.23076923076923078,0.19495252606574986,,
m_t/m_c,m_t_m_c,32×(φ-1)^-3,135.83,135.5541752799933,0.2030661267810574,3.0,
m_t/m_c,m_t_m_c,32×φ^3,135.83,135.55417527999327,0.20306612678107835,3.0,32.0
v_EW,v_EW,36×φ^4,246.22,246.74767078498868,0.2143086609490237,4.0,36.0
v_EW,v_EW,36×(φ-1)^-4,246.22,246.74767078498874,0.2143086609490468,4.0,
m_s,m_s,22×(φ-1)^-3,93.4,93.1934955049954,0.22109688972656172,3.0,
m_s,m_s,22×φ^3,93.4,93.19349550499538,0.22109688972657693,3.0,22.0
θ_C,theta_C,T_6/T_2,13.04,13.0,0.3067484662576622,,
θ_C,theta_C,T_6/T_1,13.04,13.0,0.3067484662576622,,
θ_C,theta_C,13×(φ-1)^0,13.04,13.0,0.3067484662576622,0.0,
θ_C,theta_C,13×φ^0,13.04,13.0,0.3067484662576622,0.0,13.0
θ_C,theta_C,F_7/F_2,13.04,13.0,0.3067484662576622,,
θ_C,theta_C,F_7/F_1,13.04,13.0,0.3067484662576622,,
H₀,H_0,45×φ^1,73.04,72.81152949374527,0.31280189793912566,1.0,45.0
H₀,H_0,45×(φ-1)^-1,73.04,72.81152949374527,0.31280189793912566,1.0,
m_H,m_H,48×φ^2,125.25,125.66563145999496,0.33184148502591243,2.0,48.0
m_H,m_H,48×(φ-1)^-2,125.25,125.66563145999498,0.33184148502593513,2.0,
m_H,m_H,F_14/F_4,125.25,125.66666666666667,0.3326679973386598,,
H₀,H_0,28×φ^2,73.04,73.30495168499706,0.3627487472577466,2.0,28.0
H₀,H_0,28×(φ-1)^-2,73.04,73.30495168499706,0.3627487472577466,2.0,
θ_C,theta_C,5×φ^2,13.04,13.090169943749475,0.38473883243462703,2.0,5.0
θ_C,theta_C,5×(φ-1)^-2,13.04,13.090169943749476,0.3847388324346407,2.0,
m_μ/m_e,m_mu_m_e,49×φ^3,206.768,207.5673308974897,0.38658346431251955,3.0,49.0
m_μ/m_e,m_mu_m_e,49×(φ-1)^-3,206.768,207.56733089748974,0.38658346431253326,3.0,
θ₂₃,theta_23,49×φ^0,49.2,49.0,0.40650406504065617,0.0,49.0
θ₂₃,theta_23,49×(φ-1)^0,49.2,49.0,0.40650406504065617,0.0,
θ_C,theta_C,34×φ^-2,13.04,12.986844382503575,0.4076351035001845,-2.0,34.0
θ_C,theta_C,34×(φ-1)^2,13.04,12.986844382503573,0.4076351035001981,-2.0,
m_b/m_c,m_b_m_c,14×(φ-1)^3,3.29,3.304951684997055,0.4544585105487846,-3.0,
m_b/m_c,m_b_m_c,14×φ^-3,3.29,3.3049516849970555,0.45445851054879816,-3.0,14.0
θ_C,theta_C,21×φ^-1,13.04,12.978713763747791,0.4699864743267483,-1.0,21.0
θ_C,theta_C,21×(φ-1)^1,13.04,12.978713763747791,0.4699864743267483,-1.0,
θ₁₂,theta_12,3×(φ-1)^-5,33.44,33.27050983124844,0.5068485907642292,5.0,
θ₁₂,theta_12,3×φ^5,33.44,33.27050983124843,0.5068485907642504,5.0,3.0
m_b/m_s,m_b_m_s,45×φ^0,44.76,45.0,0.5361930294906211,0.0,45.0
m_b/m_s,m_b_m_s,45×(φ-1)^0,44.76,45.0,0.5361930294906211,0.0,
m_μ/m_e,m_mu_m_e,30×(φ-1)^-4,206.768,205.62305898749062,0.5537322083249718,4.0,
m_μ/m_e,m_mu_m_e,30×φ^4,206.768,205.62305898749057,0.5537322083249993,4.0,30.0
m_b/m_s,m_b_m_s,17×(φ-1)^-2,44.76,44.50657780874822,0.5661800519476751,2.0,
m_b/m_s,m_b_m_s,17×φ^2,44.76,44.50657780874821,0.5661800519476909,2.0,17.0
m_b/m_s,m_b_m_s,F_11/F_3,44.76,44.5,0.5808757819481636,,
m_H,m_H,T_12/T_4,125.25,126.0,0.5988023952095809,,
m_χ₂,m_chi_2,32×φ^5,352.7,354.88543819998324,0.6196309044466268,5.0,32.0
m_χ₂,m_chi_2,32×(φ-1)^-5,352.7,354.88543819998335,0.619630904446659,5.0,
θ_C,theta_C,8×(φ-1)^-1,13.04,12.94427190999916,0.7341111196383431,1.0,
θ_C,theta_C,8×φ^1,13.04,12.94427190999916,0.7341111196383431,1.0,8.0
m_d/m_u,m_d_m_u,φ^2/ζ(3),2.162,2.1779617769079147,0.7382875535575756,2.0,
m_c/m_d,m_c_m_d,T_11/T_2,271.94,274.0,0.7575200411855565,,
