observable,formula,experimental,theoretical,deviation_pct,function_type
alpha_s,Li2(2/3)/7,0.1179,0.11903884092534142,0.9659380197976393,polylog_division
sin2_theta_W,G/4,0.23122,0.22899139854430475,0.963844587706624,division
sin2_theta_W,(1/4) × G,0.23122,0.22899139854430475,0.963844587706624,fraction
sin2_theta_W,(2/5) × gamma,0.23122,0.23088626596061315,0.1443361471269168,fraction
sin2_theta_W,(2/5) × Li2(1/2),0.23122,0.232896210586005,0.7249418674876645,fraction
sin2_theta_W,(4/21) × zeta3,0.23122,0.22896321964944652,0.9760316367760093,fraction
sin2_theta_W,(7/11) × Li2(1/3),0.23122,0.23304478271267676,0.7891976094960418,fraction
sin2_theta_W,(19/30) × Li2(1/3),0.23122,0.23193504565214018,0.3092490494508142,fraction
theta_13,16 × Li3(1/2),8.57,8.595411097728643,0.2965122255384251,polylog_multiple
Q_Koide,(8/11) × G,0.6667,0.6661567957652502,0.08147656138439165,fraction
Q_Koide,(11/15) × G,0.6667,0.6717081023966273,0.751177800604065,fraction
Q_Koide,(5/9) × zeta3,0.6667,0.6678093906442191,0.16640027661903561,fraction
Q_Koide,(11/20) × zeta3,0.6667,0.6611312967377769,0.8352637261471471,fraction
m_u,γ × ζ(3) × π,2.16,2.179781730706658,0.9158208660489766,triple_product
m_u,4 × Li3(1/2),2.16,2.148852774432161,0.5160752577703386,polylog_multiple
m_d,8 × Li2(1/2),4.67,4.6579242117201,0.2585821901477581,multiple
m_d,e/gamma,4.67,4.709300169327103,0.8415453817366882,nt_fundamental
m_d,e/Li2(1/2),4.67,4.668657891202958,0.02873894640346412,nt_fundamental
m_d,8 × Li2(1/2),4.67,4.6579242117201,0.2585821901477581,polylog_multiple
m_d_m_u,γ × ζ(3) × π,2.162,2.179781730706658,0.822466730187702,triple_product
m_d_m_u,4 × Li3(1/2),2.162,2.148852774432161,0.608104790371836,polylog_multiple
m_b_m_c,zeta3/Li2(1/3),3.29,3.2823961691249686,0.2311194794842392,ratio
m_b_m_c,9 × Li2(1/3),3.29,3.295919069793571,0.1799109359748003,multiple
m_b_m_c,zeta3 × e,3.29,3.267529436632479,0.6829958470371078,nt_fundamental
lambda_H,(2/9) × gamma,0.1286,0.12827014775589618,0.25649474658150245,fraction
lambda_H,(2/9) × Li2(1/2),0.1286,0.12938678365889164,0.611806888718234,fraction
lambda_H,(7/20) × Li2(1/3),0.1286,0.1281746304919722,0.33076944636687033,fraction
Omega_DE,(3/4) × G,0.6847,0.6869741956329143,0.33214482735713613,fraction
Omega_DE,(4/7) × zeta3,0.6847,0.6868896589483395,0.31979829828239476,fraction
Omega_DE,(17/30) × zeta3,0.6847,0.6811655784571033,0.5162000208699615,fraction
Omega_DM,(5/24) × gamma,0.12,0.12025326352115269,0.2110529342939117,fraction
Omega_DM,zeta3/10,0.12,0.12020569031595943,0.1714085966328614,division
Omega_DM,(1/10) × zeta3,0.12,0.12020569031595943,0.1714085966328614,fraction
Omega_DM,Li2(2/3)/7,0.12,0.11903884092534142,0.8009658955488118,polylog_division
n_s,beta(3),0.9649,0.9689461461968701,0.4193332155529235,direct_constant
n_s,sqrt(G),0.9649,0.9570609145593707,0.8124246492516612,power
n_s,G^(1/3),0.9649,0.9711650698258982,0.6492973184680537,power
n_s,(4/5) × zeta3,0.9649,0.9616455225276754,0.3372865035054976,fraction
n_s,(17/21) × zeta3,0.9649,0.9730936835101477,0.849174371452763,fraction
n_s,1/ζ(5),0.9649,0.9643873404292624,0.05313084990543468,zeta
D_H,(13/14) × G,0.85622,0.8505394803074177,0.6634416029270889,fraction
D_H,(14/15) × G,0.85622,0.8549012212320711,0.1540233547369662,fraction
D_H,(15/16) × G,0.85622,0.8587177445411428,0.2917176124293781,fraction
D_H,(5/7) × zeta3,0.85622,0.8586120736854245,0.2793760581888404,fraction
D_H,(17/24) × zeta3,0.85622,0.8514569730713792,0.5562854089627361,fraction
D_H,zeta3/sqrt(2),0.85622,0.8499825875962501,0.7284824465382571,nt_fundamental
