observable,formula,predicted,experimental,deviation_%,type,zetas
m_d,ζ(13) × ζ(15) × delta_F,4.669830489141904,4.67,0.003629782828606242,zeta_product,"[13, 15]"
m_d,ζ(13) × ζ(17) × delta_F,4.669801798855986,4.67,0.004244135846115371,zeta_product,"[13, 17]"
m_d,ζ(13) × ζ(19) × delta_F,4.669787468804478,4.67,0.004550989197466171,zeta_product,"[13, 19]"
m_d,ζ(13) × ζ(21) × delta_F,4.669780321260431,4.67,0.004704041532525965,zeta_product,"[13, 21]"
m_d,ζ(13) × delta_F,4.669773184791912,4.67,0.004856856704244211,direct_product,[13]
m_d,(ζ(13)/ζ(21)) × delta_F,4.669766048334299,4.67,0.005009671642411472,zeta_ratio_scaled,"[13, 21]"
m_d,(ζ(13)/ζ(19)) × delta_F,4.669758900823036,4.67,0.005162723275467975,zeta_ratio_scaled,"[13, 19]"
m_d,(ζ(13)/ζ(17)) × delta_F,4.669744570903168,4.67,0.005469573807964895,zeta_ratio_scaled,"[13, 17]"
m_d,(ζ(13)/ζ(15)) × delta_F,4.669715881145111,4.67,0.006083915522252994,zeta_ratio_scaled,"[13, 15]"
n_s,ζ(11)/ζ(5),0.9648639296628596,0.9648,0.00662620883702515,zeta_ratio,"[11, 5]"
m_d,ζ(15) × ζ(17) × delta_F,4.669287517248826,4.67,0.015256589960903484,zeta_product,"[15, 17]"
m_d,ζ(15) × ζ(19) × delta_F,4.669273188775475,4.67,0.015563409518739073,zeta_product,"[15, 19]"
m_d,ζ(15) × ζ(21) × delta_F,4.669266042018581,4.67,0.015716444998264526,zeta_product,"[15, 21]"
m_d,ζ(15) × delta_F,4.669258906335995,4.67,0.01586924334058028,direct_product,[15]
m_d,(ζ(15)/ζ(21)) × delta_F,4.669251770664314,4.67,0.01602204144938309,zeta_ratio_scaled,"[15, 21]"
m_d,(ζ(15)/ζ(19)) × delta_F,4.669244623940202,4.67,0.016175076226943294,zeta_ratio_scaled,"[15, 19]"
m_d,ζ(17) × ζ(19) × delta_F,4.669244501913473,4.67,0.016177689218983497,zeta_product,"[17, 19]"
m_d,ζ(17) × ζ(21) × delta_F,4.669237355200487,4.67,0.01633072375831409,zeta_product,"[17, 21]"
m_d,(ζ(15)/ζ(17)) × delta_F,4.669230295598477,4.67,0.0164818929662293,zeta_ratio_scaled,"[15, 17]"
m_d,ζ(17) × delta_F,4.669230219561741,4.67,0.01648352116186139,direct_product,[17]
m_d,(ζ(17)/ζ(21)) × delta_F,4.6692230839338995,4.67,0.01663631833191476,zeta_ratio_scaled,"[17, 21]"
m_d,ζ(19) × ζ(21) × delta_F,4.669223026881066,4.67,0.01663754001999974,zeta_product,"[19, 21]"
m_d,(ζ(17)/ζ(19)) × delta_F,4.669215937253695,4.67,0.01678935216926108,zeta_ratio_scaled,"[17, 19]"
m_d,ζ(19) × delta_F,4.669215891264217,4.67,0.016790336954657304,direct_product,[19]
m_d,(ζ(19)/ζ(21)) × delta_F,4.669208755658274,4.67,0.01694313365580192,zeta_ratio_scaled,"[19, 21]"
m_d,ζ(21) × delta_F,4.669208744595022,4.67,0.016943370556265477,direct_product,[21]
m_d,delta_F / ζ(21),4.669194473415883,4.67,0.017248963257331187,inverse,[21]
m_d,delta_F / ζ(19),4.669187326779469,4.67,0.017401996156974107,inverse,[19]
m_d,delta_F / ζ(17),4.669172998613569,4.67,0.017708809131277495,inverse,[17]
m_d,delta_F / ζ(15),4.669144312367111,4.67,0.01832307565072595,inverse,[15]
m_d,(ζ(11)/ζ(13)) × delta_F,4.670937286962256,4.67,0.020070384630752575,zeta_ratio_scaled,"[11, 13]"
m_d,delta_F / ζ(13),4.668630103168421,4.67,0.029333979262937387,inverse,[13]
n_s,ζ(13)/ζ(5),0.9645053949713394,0.9648,0.030535347083398917,zeta_ratio,"[13, 5]"
m_d,(ζ(11)/ζ(15)) × delta_F,4.671451750277272,4.67,0.031086729706032868,zeta_ratio_scaled,"[11, 15]"
m_d,(ζ(11)/ζ(17)) × delta_F,4.671480450700146,4.67,0.03170129978900348,zeta_ratio_scaled,"[11, 17]"
m_d,(ζ(11)/ζ(19)) × delta_F,4.671494785946862,4.67,0.032008264386774406,zeta_ratio_scaled,"[11, 19]"
m_d,(ζ(11)/ζ(21)) × delta_F,4.671501936115062,4.67,0.0321613729135355,zeta_ratio_scaled,"[11, 21]"
Omega_DM,(ζ(5)/ζ(9)) × delta,0.2600860145431686,0.26,0.033082516603303386,zeta_ratio_scaled,"[5, 9]"
n_s,ζ(15)/ζ(5),0.9643991747491528,0.9648,0.04154490576774149,zeta_ratio,"[15, 5]"
n_s,ζ(17)/ζ(5),0.9643932497186561,0.9648,0.04215902584409706,zeta_ratio,"[17, 5]"
n_s,ζ(19)/ζ(5),0.9643902903200484,0.9648,0.042465762847385506,zeta_ratio,"[19, 5]"
n_s,ζ(21)/ζ(5),0.9643888142310131,0.9648,0.042618757150384566,zeta_ratio,"[21, 5]"
lambda_H,(ζ(5)/ζ(7)) / rank_E8,0.12854273048070808,0.1286,0.04453306321299667,zeta_ratio_scaled,"[5, 7]"
