Observable,Pattern,Predicted,Experimental,Deviation_Percent,Formula,Category
alpha_s,sqrt(delta_F × alpha_F) / 29,0.117882,0.117900,0.0157,sqrt(4.669202 × 2.502908) / 29,Excellent
theta_13_CKM,sqrt(delta_F × alpha_F) / 17,0.201092,0.201000,0.0458,sqrt(4.669202 × 2.502908) / 17,Excellent
Q_Koide,delta_F / 7,0.667029,0.666700,0.0493,4.669202 / 7,Excellent
theta_13,arctan(delta_F / 31),8.565471,8.570000,0.0528,arctan(4.669202 / 31),Excellent
tan_theta_13,delta_F / 31,0.150619,0.150700,0.0536,4.669202 / 31,Excellent
m_d_over_m_u,delta_F^(0.5),2.160834,2.162000,0.0540,sqrt(4.669202),Excellent
sin2_theta_W,(delta_F + alpha_F) / 31,0.231358,0.231220,0.0598,(4.669202 + 2.502908) / 31,Excellent
m_H_over_m_W,delta_F / 3,1.556401,1.558243,0.1182,4.669202 / 3,Excellent
Omega_DE,sqrt(delta_F × alpha_F) / 5,0.683713,0.684700,0.1442,sqrt(4.669202 × 2.502908) / 5,Excellent
Omega_DM,delta_F / 39,0.119723,0.120000,0.2307,4.669202 / 39,Excellent
theta_23,arctan(delta_F / 4),49.414079,49.200000,0.4351,arctan(4.669202 / 4),Excellent
theta_23_CKM,(delta_F + alpha_F) / 3,2.390703,2.380000,0.4497,(4.669202 + 2.502908) / 3,Excellent
tan_theta_23,delta_F / 4,1.167300,1.158511,0.7587,4.669202 / 4,Excellent
theta_C_Cabibbo,arctan(delta_F / 20),13.140909,13.040000,0.7738,arctan(4.669202 / 20),Excellent
theta_12,arctan(delta_F / 7),33.704430,33.440000,0.7908,arctan(4.669202 / 7),Excellent
tan_theta_C,delta_F / 20,0.233460,0.231604,0.8016,4.669202 / 20,Excellent
lambda_H,delta_F / 36,0.129700,0.128600,0.8554,4.669202 / 36,Excellent
tan_theta_12,delta_F / 7,0.667029,0.660381,1.0067,4.669202 / 7,Good
m_H_over_m_Z,alpha_F^(1/3),1.357735,1.373542,1.1508,2.502908^(1/3),Good
m_t_over_m_H,alpha_F^(1/3),1.357735,1.377246,1.4166,2.502908^(1/3),Good
m_H_over_m_W,alpha_F^(0.5),1.582058,1.558243,1.5283,sqrt(2.502908),Good
m_chi2_over_m_chi1,alpha_F^(1.5),3.959746,3.897238,1.6039,2.502908^1.5,Good
m_W_over_m_Z,(delta_F + alpha_F) / 8,0.896514,0.881469,1.7068,(4.669202 + 2.502908) / 8,Good
m_H_over_m_W,Sierpinski_dimension,1.584963,1.558243,1.7147,1.584963,Good
Q_Koide,sqrt(delta_F × alpha_F) / 5,0.683713,0.666700,2.5518,sqrt(4.669202 × 2.502908) / 5,Good
Omega_DE,delta_F / 7,0.667029,0.684700,2.5809,4.669202 / 7,Good
m_chi2_over_m_chi1,6 × Cantor_dimension,3.785579,3.897238,2.8651,6 × 0.630930,Good
n_s,delta_F / 5,0.933840,0.964900,3.2190,4.669202 / 5,Moderate
m_b_over_m_c,2 × Sierpinski_dimension,3.169925,3.290000,3.6497,2 × 1.584963,Moderate
m_c_over_m_s,9 × Sierpinski_dimension,14.264663,13.600000,4.8872,9 × 1.584963,Moderate
