manifold,b2,b3,H_star,source,gift_prediction,n_points,seed,lambda_0,lambda_1,lambda_1_times_H,sigma_mean,status
K7_GIFT,21,77,99,GIFT,0.1414141414141414,1000,0,-0.006392498650616477,0.21748515610058328,21.531030453957744,2.7933963639621386,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,1000,1,0.0023362553609770336,0.21623461935771507,21.407227316413792,2.8090405445255735,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,1000,2,-0.0005443568906017903,0.21044398022831137,20.833954042602826,2.803212641462075,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,2000,0,-0.0022043217170211495,0.17114660009135282,16.94351340904393,2.625315949210156,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,2000,1,0.002050643957771846,0.17647255979361712,17.470783419568093,2.6315266879159953,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,2000,2,0.0015299754881543531,0.17114574396831916,16.9434286528636,2.6297884587335267,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,5000,0,-0.002115057117298409,0.1290226862495175,12.773245938702232,2.4864147629069318,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,5000,1,0.0002040657991384623,0.12857533798110599,12.728958460129492,2.489315647239102,ok
K7_GIFT,21,77,99,GIFT,0.1414141414141414,5000,2,0.0006622721714375901,0.12651554956370803,12.525039406807094,2.4885787501365217,ok
Joyce_1,12,43,56,Joyce,0.25,1000,0,-0.0014762507922806657,0.21628595089249464,12.1120132499797,2.5750340025254714,ok
Joyce_1,12,43,56,Joyce,0.25,1000,1,-0.003021886086009519,0.21590273621525055,12.09055322805403,2.589455263114267,ok
Joyce_1,12,43,56,Joyce,0.25,1000,2,-0.007471395074024654,0.20989759314557735,11.754265216152332,2.5840829325901997,ok
Joyce_1,12,43,56,Joyce,0.25,2000,0,0.001641231242383436,0.17130750607570538,9.593220340239501,2.420092588292713,ok
Joyce_1,12,43,56,Joyce,0.25,2000,1,0.00023552056190777603,0.176158421965924,9.864871630091743,2.425817827845059,ok
Joyce_1,12,43,56,Joyce,0.25,2000,2,-0.0035300839156811054,0.17157461980938066,9.608178709325317,2.424215477635549,ok
Joyce_1,12,43,56,Joyce,0.25,5000,0,-0.0013118070818952839,0.1289535325424562,7.221397822377547,2.2920494353995786,ok
Joyce_1,12,43,56,Joyce,0.25,5000,1,0.0002809412958834759,0.12871977020387593,7.208307131417052,2.2947235549370353,ok
Joyce_1,12,43,56,Joyce,0.25,5000,2,0.000225025152250981,0.12585093304510506,7.047652250525883,2.2940442617583137,ok
Joyce_2,8,47,56,Joyce,0.25,1000,0,0.004972914395146606,0.21678869964671812,12.140167180216215,2.5750340025254714,ok
Joyce_2,8,47,56,Joyce,0.25,1000,1,-0.0005155101552518827,0.216881359366588,12.145356124528929,2.589455263114267,ok
Joyce_2,8,47,56,Joyce,0.25,1000,2,-0.005797040875171322,0.2104666748419924,11.786133791151576,2.5840829325901997,ok
