observable,formula,predicted,experimental,deviation_%,type,zetas
m_d,ζ(13) × ζ(15) × delta_F,4.669830489141904,4.67,0.003629782828606242,zeta_product,"[13, 15]"
m_d,ζ(13) × ζ(17) × delta_F,4.669801798855986,4.67,0.004244135846115371,zeta_product,"[13, 17]"
m_d,ζ(13) × ζ(19) × delta_F,4.669787468804478,4.67,0.004550989197466171,zeta_product,"[13, 19]"
m_d,ζ(13) × ζ(21) × delta_F,4.669780321260431,4.67,0.004704041532525965,zeta_product,"[13, 21]"
m_d,ζ(13) × delta_F,4.669773184791912,4.67,0.004856856704244211,direct_product,[13]
m_d,(ζ(13)/ζ(21)) × delta_F,4.669766048334299,4.67,0.005009671642411472,zeta_ratio_scaled,"[13, 21]"
m_d,(ζ(13)/ζ(19)) × delta_F,4.669758900823036,4.67,0.005162723275467975,zeta_ratio_scaled,"[13, 19]"
m_d,(ζ(13)/ζ(17)) × delta_F,4.669744570903168,4.67,0.005469573807964895,zeta_ratio_scaled,"[13, 17]"
m_d,(ζ(13)/ζ(15)) × delta_F,4.669715881145111,4.67,0.006083915522252994,zeta_ratio_scaled,"[13, 15]"
n_s,ζ(11)/ζ(5),0.9648639296628596,0.9648,0.00662620883702515,zeta_ratio,"[11, 5]"
