Observable,Formula,Predicted,Experimental,Deviation_%,Sigma
alpha_s,sqrt(2) / 12,0.11785113019775793,0.1179,0.04145021394577725,0.4886980224207138
H_0,H0_CMB × (ζ(3)/xi)^(pi/8),72.9340276366963,73.04,0.14508812062391377,0.10189650317664099
g_Y,sqrt(Weyl / 39),0.35805743701971643,0.357,0.29620084585894824,0.5287185098582226
alpha_s,ζ(7) / (rank + 1/2),0.11862932675081443,0.1179,0.6185977530232628,7.293267508144268
H_0,H0_CMB × ζ(3)^(pi/8),72.40833532849662,73.04,0.8648201964723259,0.6073698764455643
g_Y,1 / sqrt(rank),0.35355339059327373,0.357,0.9654368086067936,1.7233047033631266
Omega_b,ζ(7) / b2,0.048016632256282034,0.0486,1.2003451516830526,0.5833677437179635
alpha_s,ζ(7) × gamma / Weyl,0.11640699971908822,0.1179,1.2663276343611434,14.93000280911788
sigma_8,4 / Weyl,0.8,0.811,1.3563501849568445,1.8333333333333348
Omega_b,ζ(5) / b2,0.049377512149684284,0.0486,1.5998192380335123,0.7775121496842868
H_0,100 × ζ(3) / phi,74.29120225640702,73.04,1.713037043273565,1.2030790926990502
Omega_b,ζ(9) / b2,0.047714685372670575,0.0486,1.8216350356572482,0.8853146273294227
g_2,ζ(5) / phi,0.6408565965567312,0.653,1.8596329928436153,4.047801147756269
alpha_s,ζ(9) × gamma / Weyl,0.11567498814009747,0.1179,1.8872025953371816,22.25011859902537
g_2,2 / M2,0.6666666666666666,0.653,2.092904543134243,4.555555555555535
alpha_s,ζ(5) / (rank + 1),0.11521419501593,0.1179,2.2780364580746446,26.85804984070006
sin_theta_C,sqrt(ζ(7) / b2),0.2191269774726107,0.2254,2.7830623457805186,7.644772661343815
g_2,sqrt(ζ(3) / M2),0.6329973415319621,0.653,3.0631942523794713,6.667552822679316
g_Y,ζ(5) / M2,0.34564258504779,0.357,3.1813487261092406,5.678707476104994
alpha_s,1 / (rank + 1/ζ(13)),0.11111262223101945,0.1179,5.756893782002169,67.87377768980556
