target,name,tier,index,gamma,diff,precision_pct,norm_precision
21,b₂,1,2,21.022039639,0.022039638999999056,0.10495066190475741,0.0042325710741642425
61,b₃ - dim(G₂) - p₂,3,14,60.831778525,-0.16822147500000284,0.2757729098360702,0.06085557807012625
67,b₃ - 2×Weyl,2,16,67.079810529,0.07981052899999952,0.11912019253731271,0.03006385966574048
72,|Roots(E₆)|,2,18,72.067157674,0.06715767400000061,0.09327454722222307,0.026066937730227686
77,b₃,1,20,77.144840069,0.14484006899999713,0.18810398571428197,0.05776669287421243
99,H*,1,29,98.831194218,-0.16880578200000684,0.17051089090909782,0.07407684184306558
105,15 × dim(K₇),4,32,105.446623052,0.44662305200000674,0.425355287619054,0.20017358224922135
112,dim(E₇) - b₂,3,35,111.874659177,-0.12534082300000193,0.1119114491071446,0.057464405412897844
119,17 × dim(K₇),4,38,118.790782866,-0.2092171339999993,0.17581271764705825,0.0979374501463803
133,dim(E₇),2,45,133.497737203,0.497737203000014,0.3742384984962511,0.24180870561721418
134,dim(E₇) + 1,3,45,133.497737203,-0.502262796999986,0.37482298283581045,0.24460609804204547
140,20 × dim(K₇),4,48,139.736208952,-0.26379104800000164,0.1884221771428583,0.13030739601496907
141,dim(E₇) + rank(E₈),3,49,141.123707404,0.12370740399998681,0.08773574751772115,0.06124906707137669
147,21 × dim(K₇),4,52,147.422765343,0.4227653430000089,0.28759547142857744,0.21212031011923219
161,23 × dim(K₇),4,59,161.188964138,0.18896413799998868,0.11736902981365756,0.09754771029183666
163,|Roots(E₈)| - b₃,2,60,163.030709687,0.03070968700001231,0.018840298773013686,0.015913400605078773
168,24 × dim(K₇),4,62,167.184439978,-0.8155600219999997,0.48545239404761886,0.42653542495283076
175,25 × dim(K₇),4,66,174.754191523,-0.24580847699999708,0.14046198685714117,0.1301541131914937
182,26 × dim(K₇),4,70,182.207078484,0.20707848399999307,0.113779386813183,0.11093943353839779
189,27 × dim(K₇),4,74,189.416158656,0.41615865599999324,0.22018976507936153,0.2254509255696198
196,28 × dim(K₇),4,77,195.26539668,-0.7346033199999908,0.3747976122448933,0.4022179569314072
203,29 × dim(K₇),4,81,202.493594514,-0.5064054860000056,0.24946083054187465,0.2801008630129839
210,30 × dim(K₇),4,85,209.576509717,-0.4234902830000067,0.20166203952381273,0.23652414019111395
217,31 × dim(K₇),4,89,216.169538508,-0.830461492000012,0.3827011483871023,0.46815608780216117
224,32 × dim(K₇),4,93,224.007000255,0.0070002550000083374,0.0031251138392894362,0.003981626036184946
231,33 × dim(K₇),4,97,231.2501887,0.2501886999999954,0.10830679653679454,0.14352836877453942
238,34 × dim(K₇),4,101,237.769820481,-0.23017951899998934,0.0967140836134409,0.1331431322613262
239,|Roots(E₈)| - 1,3,102,239.555477573,0.5554775729999903,0.23241739456066543,0.3216765209548909
240,|Roots(E₈)|,2,102,239.555477573,-0.44452242700000966,0.18521767791667068,0.2577179030159199
241,|Roots(E₈)| + 1,3,103,241.049157796,0.04915779600000292,0.020397425726142292,0.02853242966580816
245,35 × dim(K₇),4,105,244.070898497,-0.9291015029999983,0.37922510326530545,0.5417081879136679
247,dim(E₈) - 1,3,106,247.136990075,0.13699007499999993,0.055461568825910905,0.0800486663501519
248,dim(E₈),2,107,248.10199006,0.10199005999999144,0.04112502419354494,0.059662371555872395
249,dim(E₈) + 1,3,108,249.573689645,0.5736896450000017,0.23039744779116536,0.3359656684457409
