target,name,tier,formula,index,gamma,precision,precision_pct
1141,163×7,4,163 × dim(K₇),9577,1141.00029381,2.575021909752896e-07,2.575021909752896e-05
826,118×7,4,118 × dim(K₇),5862,825.9991089454,1.0787585955774615e-06,0.00010787585955774615
840,120×7,4,120 × dim(K₇),6027,839.99842332,1.8769999999655001e-06,0.00018769999999655002
1239,177×7,4,177 × dim(K₇),10736,1238.99614999,3.1073527037538324e-06,0.00031073527037538324
980,140×7,4,140 × dim(K₇),7676,980.00324124,3.30738775506707e-06,0.000330738775506707
1050,150×7,4,150 × dim(K₇),8503,1049.996284257,3.5388028570759204e-06,0.000353880285707592
1372,196×7,4,196 × dim(K₇),12309,1372.0050915,3.7110058308563904e-06,0.00037110058308563904
903,129×7,4,129 × dim(K₇),6769,903.0037559418,4.159403986736224e-06,0.00041594039867362244
833,119×7,4,119 × dim(K₇),5943,833.003640909,4.370839135600447e-06,0.00043708391356004473
756,108×7,4,108 × dim(K₇),5038,756.00350308,4.633703703668154e-06,0.0004633703703668154
609,87×7,4,87 × dim(K₇),3313,608.99678761,5.2748604270020556e-06,0.0005274860427002055
770,110×7,4,110 × dim(K₇),5203,769.99525503,6.162298701359783e-06,0.0006162298701359783
1309,187×7,4,187 × dim(K₇),11564,1308.99155961,6.447967914463326e-06,0.0006447967914463326
1008,144×7,4,144 × dim(K₇),8007,1008.006704307,6.651098214236061e-06,0.0006651098214236061
1113,159×7,4,159 × dim(K₇),9246,1113.0076756772,6.89638562447512e-06,0.0006896385624475121
1169,167×7,4,167 × dim(K₇),9908,1168.99172906,7.075226689565612e-06,0.0007075226689565612
1393,199×7,4,199 × dim(K₇),12559,1393.0101470523,7.284316080401223e-06,0.0007284316080401224
266,38×7,4,38 × dim(K₇),1246,266.0019822132,7.451929323287504e-06,0.0007451929323287503
973,139×7,4,139 × dim(K₇),7592,972.99218179,8.035159301112203e-06,0.0008035159301112203
1232,176×7,4,176 × dim(K₇),10653,1231.9894046885,8.6000905033141e-06,0.00086000905033141
1197,171×7,4,171 × dim(K₇),10238,1196.98966265,8.636048454552909e-06,0.0008636048454552909
189,27×7,4,27 × dim(K₇),875,188.9983662679,8.644085185204902e-06,0.0008644085185204902
623,89×7,4,89 × dim(K₇),3478,623.005715516,9.174182985568703e-06,0.0009174182985568702
1204,172×7,4,172 × dim(K₇),10323,1204.0113509029,9.4276602159043e-06,0.00094276602159043
1148,164×7,4,164 × dim(K₇),9659,1147.9891086856,9.487207665454373e-06,0.0009487207665454373
931,133×7,4,133 × dim(K₇),7098,931.009211337,9.894024704630123e-06,0.0009894024704630124
987,141×7,4,141 × dim(K₇),7760,987.0100730295,1.0205703647365118e-05,0.0010205703647365118
1288,184×7,4,184 × dim(K₇),11316,1287.98664539,1.0368486024905697e-05,0.0010368486024905697
1029,147×7,4,147 × dim(K₇),8253,1029.0107634638,1.0460120310985026e-05,0.0010460120310985025
805,115×7,4,115 × dim(K₇),5614,805.00847784,1.0531478260813658e-05,0.0010531478260813658
1092,156×7,4,156 × dim(K₇),8998,1091.98832233,1.0693836996269566e-05,0.0010693836996269566
637,91×7,4,91 × dim(K₇),3641,636.9927187456,1.1430540659383262e-05,0.001143054065938326
546,78×7,4,78 × dim(K₇),2576,546.00667595,1.2227014652095961e-05,0.0012227014652095962
749,107×7,4,107 × dim(K₇),4956,748.99078683,1.2300627503274628e-05,0.0012300627503274628
1211,173×7,4,173 × dim(K₇),10404,1211.0157291064,1.2988527167573054e-05,0.0012988527167573055
994,142×7,4,142 × dim(K₇),7841,993.98704095,1.3037273641800258e-05,0.0013037273641800257
868,124×7,4,124 × dim(K₇),6356,867.98806217,1.3753260368623604e-05,0.0013753260368623605
1281,183×7,4,183 × dim(K₇),11232,1281.0182339854,1.4234180640126451e-05,0.001423418064012645
1302,186×7,4,186 × dim(K₇),11480,1301.98138294,1.4298817204298659e-05,0.001429881720429866
1365,195×7,4,195 × dim(K₇),12226,1365.0195792191,1.4343750256427613e-05,0.0014343750256427612
763,109×7,4,109 × dim(K₇),5120,762.98891113,1.4533250327628426e-05,0.0014533250327628427
1225,175×7,4,175 × dim(K₇),10569,1225.018330024,1.4963284898023667e-05,0.0014963284898023667
1260,180×7,4,180 × dim(K₇),10984,1260.01891427,1.5011325396901358e-05,0.0015011325396901358
1344,192×7,4,192 × dim(K₇),11978,1343.97977434,1.5048854166704609e-05,0.0015048854166704608
1253,179×7,4,179 × dim(K₇),10901,1252.98077738,1.5341276935304706e-05,0.0015341276935304706
1295,185×7,4,185 × dim(K₇),11399,1295.02023089,1.5622308880303822e-05,0.0015622308880303823
1316,188×7,4,188 × dim(K₇),11646,1316.02073466,1.5755820668705506e-05,0.0015755820668705506
1162,166×7,4,166 × dim(K₇),9826,1161.98168117,1.5764913941478782e-05,0.0015764913941478781
1120,160×7,4,160 × dim(K₇),9328,1119.98206651,1.6012044642772188e-05,0.0016012044642772188
497,71×7,4,71 × dim(K₇),2298,496.9920105509,1.6075350301857533e-05,0.0016075350301857534
560,80×7,4,80 × dim(K₇),2739,559.99067925,1.6644196428623152e-05,0.0016644196428623151
1155,165×7,4,165 × dim(K₇),9743,1154.98025244,1.7097454545490588e-05,0.0017097454545490587
791,113×7,4,113 × dim(K₇),5450,790.98629437,1.73269658659975e-05,0.00173269658659975
714,102×7,4,102 × dim(K₇),4545,713.98743512,1.7597871148478354e-05,0.0017597871148478353
329,47×7,4,47 × dim(K₇),1530,329.0060028672,1.8245796960430594e-05,0.0018245796960430593
574,82×7,4,82 × dim(K₇),2904,573.9894757189,1.8334984494681315e-05,0.0018334984494681316
1071,153×7,4,153 × dim(K₇),8750,1071.0196409587,1.8338897012080282e-05,0.0018338897012080283
616,88×7,4,88 × dim(K₇),3396,616.01134692,1.8420324675407283e-05,0.0018420324675407283
77,11×7,4,11 × dim(K₇),330,76.9985569311,1.8741154545483523e-05,0.0018741154545483523
77,b₃,1,third Betti number,330,76.9985569311,1.8741154545483523e-05,0.0018741154545483523
483,69×7,4,69 × dim(K₇),2232,483.0091612438,1.896737846792625e-05,0.0018967378467926249
917,131×7,4,131 × dim(K₇),6933,917.01812449,1.9764983642302134e-05,0.0019764983642302134
567,81×7,4,81 × dim(K₇),2822,566.98857087,2.015719576721419e-05,0.002015719576721419
238,34×7,4,34 × dim(K₇),1121,237.9951082425,2.0553602941136513e-05,0.0020553602941136514
665,95×7,4,95 × dim(K₇),3969,665.01393089,2.094870676689213e-05,0.002094870676689213
525,75×7,4,75 × dim(K₇),2425,524.9889356525,2.107494761904014e-05,0.002107494761904014
1337,191×7,4,191 × dim(K₇),11895,1337.02835945,2.1211256544446782e-05,0.0021211256544446783
1015,145×7,4,145 × dim(K₇),8090,1014.9770772754,2.2583965123146475e-05,0.0022583965123146475
658,94×7,4,94 × dim(K₇),3888,657.98487622,2.2984468085035734e-05,0.0022984468085035735
924,132×7,4,132 × dim(K₇),7016,924.02184099,2.3637435064920953e-05,0.0023637435064920954
532,76×7,4,76 × dim(K₇),2457,531.987365872,2.3748360902152483e-05,0.0023748360902152484
1379,197×7,4,197 × dim(K₇),12393,1379.03305464,2.3970007251664803e-05,0.0023970007251664805
595,85×7,4,85 × dim(K₇),3149,595.014272121,2.3986757983153484e-05,0.0023986757983153486
1386,198×7,4,198 × dim(K₇),12478,1386.0340852528,2.4592534487711873e-05,0.002459253448771187
1400,200×7,4,200 × dim(K₇),12641,1399.96431265,2.5490964285706597e-05,0.0025490964285706597
294,42×7,4,42 × dim(K₇),1372,294.0075626385,2.572326020414676e-05,0.002572326020414676
882,126×7,4,126 × dim(K₇),6521,882.0232587612,2.6370477551082e-05,0.0026370477551082
798,114×7,4,114 × dim(K₇),5533,798.0210706075,2.640427005006355e-05,0.002640427005006355
1246,178×7,4,178 × dim(K₇),10819,1246.0332861146,2.6714377688651356e-05,0.0026714377688651357
553,79×7,4,79 × dim(K₇),2657,552.9850780141,2.6983699638238456e-05,0.0026983699638238458
1183,169×7,4,169 × dim(K₇),10073,1183.0321517569,2.717815460694903e-05,0.002717815460694903
1106,158×7,4,158 × dim(K₇),9164,1106.0301473461,2.7257998282066857e-05,0.0027257998282066856
1085,155×7,4,155 × dim(K₇),8915,1084.9683750667,2.9147403963141665e-05,0.0029147403963141667
742,106×7,4,106 × dim(K₇),4875,741.97797424,2.9684312668489955e-05,0.0029684312668489953
1127,161×7,4,161 × dim(K₇),9412,1127.03349044,2.9716450754146568e-05,0.002971645075414657
1190,170×7,4,170 × dim(K₇),10156,1189.963636498,3.0557564705954326e-05,0.0030557564705954326
672,96×7,4,96 × dim(K₇),4051,672.02061767,3.068105654758737e-05,0.0030681056547587375
322,46×7,4,46 × dim(K₇),1498,322.0100355597,3.1166334472006684e-05,0.0031166334472006686
224,32×7,4,32 × dim(K₇),1051,224.00700025460432,3.125113662643437e-05,0.003125113662643437
1330,190×7,4,190 × dim(K₇),11813,1329.95750909,3.194805263155603e-05,0.0031948052631556026
819,117×7,4,117 × dim(K₇),5779,819.0269905013,3.29554350427592e-05,0.0032955435042759202
1358,194×7,4,194 × dim(K₇),12145,1357.95472575,3.333891752571455e-05,0.003333891752571455
163,Heegner₁₆₃,3,|Roots(E₈)| - b₃,746,163.0056677956,3.477175214726632e-05,0.003477175214726632
889,127×7,4,127 × dim(K₇),6603,889.0310708,3.4950281214794394e-05,0.003495028121479439
1078,154×7,4,154 × dim(K₇),8833,1077.96100511,3.617336734685773e-05,0.003617336734685773
952,136×7,4,136 × dim(K₇),7346,951.96546169,3.627973739497509e-05,0.003627973739497509
1134,162×7,4,162 × dim(K₇),9495,1133.95883781,3.629822751324757e-05,0.003629822751324757
1267,181×7,4,181 × dim(K₇),11066,1266.9512589568,3.8469647355899857e-05,0.0038469647355899857
1218,174×7,4,174 × dim(K₇),10487,1217.9514570596,3.985463087028859e-05,0.003985463087028859
679,97×7,4,97 × dim(K₇),4135,679.02742375,4.038843888074432e-05,0.004038843888074432
