N,k,seed,H_star,ratio,alpha_s1,sigma_factor,mix_mode,lambda1,product,elapsed,cluster
5000,49,861,61,2.0593820005455385,1.3952752369197305,1.1687491292803867,standard,0.1292141293402535,7.882061889755463,2.0558626651763916,1
5000,27,5579,177,1.7022300234864176,1.5621088666940683,0.5308767414437037,standard,0.11965104941474083,21.17823574640913,1.9826867580413818,0
5000,97,6950,30,2.484423118582435,1.4262222644415747,1.4174797407324213,standard,0.1413658830968939,4.240976492906817,2.0507662296295166,1
5000,20,8667,134,0.7789877213040837,0.9382169728028272,1.0495427649405376,standard,0.032952927570332885,4.415692294424606,1.960411787033081,3
5000,56,2735,135,1.2649239825343255,1.9748463287101823,1.20014433987197,standard,0.13469851322491785,18.18429928536391,1.988659381866455,0
5000,88,8839,58,0.630103185970559,1.92332830588,1.948448049611839,standard,0.01759726595128828,1.0206414251747202,2.023491621017456,3
5000,84,7514,46,1.8684660530243138,1.1602287406094018,0.6830573522671682,standard,0.16678074357836567,7.671914204604821,2.153096914291382,1
5000,59,8227,184,1.0175599632000338,1.4937834265309728,0.9675666141341164,standard,0.08322594070551331,15.313573089814449,1.9778144359588623,0
5000,61,3844,61,2.439169255529117,1.6626992350416718,1.9092484123462836,standard,0.12035633978324566,7.341736726777985,2.009795665740967,1
5000,91,7630,63,0.5904545778210761,0.9879954961448965,1.083015934534223,standard,0.024369100575173944,1.5352533362359584,2.0066962242126465,3
5000,41,9269,129,2.430510614528276,1.410551371530027,0.913998773033815,standard,0.09988929233500479,12.885718711215619,1.9892902374267578,0
5000,43,65,32,1.3468029614127393,1.0923222772633545,0.9402322620770571,standard,0.20935241684424497,6.699277339015839,1.9978692531585693,1
5000,21,5619,150,1.9580143360819746,1.6569055200289187,0.6110669776011355,standard,0.09477645288335575,14.216467932503361,1.9757483005523682,0
5000,48,6185,185,2.2000771555795984,1.174176011207305,0.643115174735617,standard,0.10735874594087473,19.861367999061827,1.996473789215088,0
5000,49,8997,154,1.7751149427104262,1.8308191138644898,1.2083223877429239,standard,0.1624000267202358,25.00960411491631,1.985459804534912,0
5000,29,3841,152,0.9719698394979115,0.884102484141986,0.560650384307647,standard,0.07790608770465578,11.841725331107678,1.9638638496398926,0
5000,76,5978,34,0.7157828539866089,0.5471437785301014,1.4546156168956705,standard,0.06858681696893117,2.3319517769436597,1.9881634712219238,3
5000,45,6020,184,0.9985844582977499,1.1155743845534447,1.633326707814573,standard,0.09233769214173387,16.990135354079033,2.0112366676330566,0
5000,38,9915,148,2.260935678030515,1.4365310722006899,0.943450528756571,standard,0.10461575978722847,15.483132448509814,2.017312526702881,0
5000,28,3628,100,2.2665605178377364,0.9865175315079109,0.6831319320510101,standard,0.08440306006437837,8.440306006437837,1.9976320266723633,1
5000,48,7393,76,1.7953802410827246,0.5007805654929738,1.0288532845012535,standard,0.14302528335974074,10.869921535340296,2.002716064453125,1
5000,44,8902,116,1.334822006297558,0.8331617157060953,0.6797980510005242,standard,0.2005616003482552,23.265145640397606,2.0002644062042236,0
5000,47,1999,58,0.9375284391461405,1.3371530030260117,1.1057542565870613,standard,0.06360104798246938,3.688860782983224,1.981489896774292,3
5000,25,6586,193,1.0035645916507283,1.245872758838578,0.9513174647251545,standard,0.06909651926894653,13.33562821890668,1.9829983711242676,0
5000,42,699,133,1.505358046457723,0.5772181268749841,0.9179696963549171,standard,0.16536741456330772,21.993866136919927,1.991213083267212,0
5000,92,5250,120,1.3955663291461833,1.3293396336069918,1.3890450858190904,standard,0.27021765486873367,32.42611858424804,2.0444302558898926,2
5000,26,4219,71,2.1062795127597917,1.2054509516690577,1.9751347113422644,standard,0.10202059070637258,7.243461940152454,1.9751708507537842,1
5000,51,6288,172,1.1415601299434717,0.7797777655997813,0.5611627123321459,standard,0.17176348819577097,29.54331996967261,1.9950413703918457,0
5000,67,7099,67,1.9222990648760356,1.7142515692095732,1.0229989809375941,standard,0.15984235592178064,10.709437846759304,2.0126543045043945,1
5000,27,8681,147,1.2734706926010748,1.9050949831051018,0.7062814162189899,standard,0.10346346830217266,15.209129840419381,2.0569028854370117,0
5000,47,6617,65,1.5828959476551316,1.5436765990176233,0.8428250326959494,standard,0.18233553156205856,11.851809551533806,1.9946303367614746,1
5000,33,8816,124,1.559301156712013,0.8627784363506775,0.6396541517088488,standard,0.14631945436208948,18.143612340899097,1.9825565814971924,0
5000,91,3109,180,0.8774142166827588,0.9183070288882729,1.550536744959157,standard,0.09177338387596118,16.519209097673013,2.009239912033081,2
5000,87,4500,180,2.0597510917152477,1.4630474692314317,0.6262099474925733,standard,0.14695954655139806,26.45271837925165,2.035597801208496,2
5000,32,9638,143,1.6613732428729093,1.0584241498426146,1.9102001636866677,standard,0.14684435359581402,20.998742564201404,1.986098051071167,0
5000,97,2962,57,1.5974675787331722,1.53784279653904,1.4779418892539007,standard,0.22886815230173568,13.045484681198934,2.051459789276123,1
5000,37,8353,33,1.4877874303668692,0.7682340638319932,1.04970317687429,standard,0.16859997151583403,5.563799060022523,1.988067865371704,1
5000,79,1219,141,1.6366172066709432,0.6405121517421387,1.0515737045891502,standard,0.1866439988530969,26.316803838286663,2.0325634479522705,2
5000,41,6894,130,2.457785716550018,1.2301132294391826,1.859148181577831,standard,0.1012156805686883,13.158038473929478,1.9998877048492432,0
5000,54,4894,139,1.8378481193261993,1.7962513476078545,0.8452779023623329,standard,0.1571650237965359,21.84593830771849,1.997711181640625,0
5000,59,7684,34,1.7909445918143356,0.7656660191105734,1.9106878765293716,standard,0.15977293367128026,5.4322797448235285,2.010136365890503,1
5000,96,3445,180,1.9954375477948278,1.9296077705359298,0.9961254570057705,standard,0.16997785559748405,30.59601400754713,2.0440762042999268,2
5000,64,607,193,2.20601891093472,0.9416733381043785,1.0776465929028878,standard,0.12615266320674268,24.347463998901336,2.013989210128784,2
5000,88,3328,112,1.2453737341880986,1.0920372002142082,1.766319711089467,standard,0.23167256304115952,25.947327060609865,2.032686710357666,2
5000,94,2734,46,1.7300144533983395,1.985080775156395,0.7101260228547861,standard,0.2025022349183237,9.31510280624289,2.0467529296875,1
5000,61,1410,84,2.197339589849349,0.7049319971630432,1.563366495365178,standard,0.13248408603592596,11.12866322701778,2.0330002307891846,1
5000,64,5802,167,2.1202267893583615,1.8006084778701554,1.869860828834707,standard,0.14231601009519457,23.766773685897494,2.0470752716064453,2
5000,60,7993,136,0.8885479070240845,0.6064113754998914,1.0951757408208325,standard,0.11046843335429964,15.02370693618475,1.9994912147521973,3
5000,24,6003,87,1.251165905279888,0.6409729097613035,1.3674202114942609,standard,0.18035274114521307,15.690688479633538,1.9874978065490723,0
5000,22,3770,122,1.0730825042565688,1.3862498908535161,0.5457503749085741,standard,0.06655916344199493,8.120217939923382,1.9766535758972168,3
5000,22,3855,91,0.7541210253037696,1.2833648900822066,1.6549903296479163,standard,0.025293450347262263,2.3017039816008658,1.9573745727539062,3
5000,37,5,107,2.1840461500239625,0.7915700509923096,1.1170308575850179,standard,0.10518578608435705,11.254879111026204,1.9907374382019043,1
5000,75,7080,153,2.451704158925069,1.274450522451793,0.984434709411869,standard,0.12184203533792855,18.64183140670307,2.071930408477783,2
5000,83,831,103,1.9880852859982308,0.8762907910199917,0.7765005114970551,standard,0.15457572970087652,15.921300159190281,2.0520031452178955,2
5000,26,1151,148,1.3179058888285398,0.7599414801062687,0.734655564006629,standard,0.17273180360557863,25.564306933625637,1.9842791557312012,0
5000,40,7806,45,0.8657319942146147,1.9019209960095647,1.4574058907650256,standard,0.03650972808363491,1.642937763763571,1.974987268447876,3
5000,61,9663,104,1.960078633123637,0.5715741915374732,1.3490558157411146,standard,0.14399155221318813,14.975121430171566,2.0245015621185303,1
5000,32,7254,32,0.7321452810138325,0.5690039630326291,0.5610932034784553,standard,0.04710579111526233,1.5073853156883945,1.9808077812194824,3
5000,88,6618,113,1.4469435415611314,0.7598028048650227,1.1507774738569596,standard,0.23501270111520095,26.556435226017708,2.029398202896118,2
5000,51,6666,191,2.273360774596095,0.8913404350125709,0.5229568104355771,standard,0.10042489358040899,19.181154673858117,2.0213658809661865,0
5000,94,9824,175,1.81738726323789,0.7444016406221445,0.6058531211006448,standard,0.16930660443268494,29.628655775719864,2.0594606399536133,2
5000,71,9088,138,2.1018985893647995,1.5157525135744727,1.3600505625079,standard,0.14776579617372834,20.39167987197451,2.029381036758423,2
5000,30,5053,122,2.3829296175530503,1.0791539567011614,1.9417858457358714,standard,0.0889601706245324,10.853140816192953,1.985414743423462,0
5000,92,7724,76,0.9291782394167483,1.0658886248419637,0.5584446984653504,standard,0.08920078225756545,6.7792594515749744,2.0188186168670654,3
5000,69,8968,95,1.8632273379455795,1.01093685419636,0.8910417923538547,standard,0.15822587820878642,15.03145842983471,2.019538164138794,1
5000,59,826,148,1.757885693559768,1.8162080202905795,1.6026065657058286,standard,0.17815537227635767,26.366995096900933,2.0084872245788574,2
5000,84,8868,60,2.0012295032817167,1.710252108900896,1.98575771300101,standard,0.1658626345453352,9.951758072720112,2.0380184650421143,1
5000,53,5074,72,1.6610880246878197,1.8006749108145832,1.3428000382156604,standard,0.18099946762454228,13.031961668967044,2.0131795406341553,1
5000,39,3767,157,2.0090857481693645,0.6546858032538989,1.85382936001935,standard,0.11786046160421068,18.504092471861078,1.9908514022827148,0
5000,60,729,84,2.291046456992401,1.0838025181012447,0.5162564772204475,standard,0.10754398929247398,9.033695100567815,2.052880048751831,1
5000,92,4172,90,2.413601770252913,1.515154856636455,1.2237814244639638,standard,0.13938067324919742,12.544260592427769,2.0397095680236816,1
5000,59,8336,106,1.086421543396129,0.9929968180548739,1.5087776841155576,standard,0.1424530160722771,15.10001970366137,1.9895522594451904,3
5000,80,1168,164,0.6824122060973807,1.2416304570538723,0.5863381400249664,standard,0.027344322003375627,4.484468808553602,2.0040571689605713,3
5000,63,9349,155,1.5918315403299779,1.558747225818042,1.9529779159612024,standard,0.20522734596392989,31.81023862440913,2.0226919651031494,2
5000,75,954,135,0.7022453522455805,0.6261602091724962,1.55145369718868,standard,0.057445436089036864,7.755133872019977,2.01438570022583,3
5000,25,6939,150,0.6626975612837995,0.6272565711277879,1.9799593677517633,standard,0.0319496328314816,4.79244492472224,1.978379487991333,3
5000,49,1366,168,2.394497154767717,1.9790015957343063,1.6300672778884124,standard,0.11401327867660513,19.15423081766966,1.9939141273498535,0
5000,50,3487,111,1.255975180244509,1.5576265464449899,0.873086231645432,standard,0.14916532857977635,16.557351472355176,1.9859611988067627,0
