observable,formula,predicted,experimental,deviation_pct,uncertainty,complexity,n_params,log_likelihood,bic,aic,r2,r2_adj,p_value_raw,n_tests,p_value_corrected,quality_score,significance,source
g_2,ζ(5)/φ,0.6408570000,0.6530000000,1.8600000000,0.0030000000,2,1,-3.3015982651,10.2141144429,8.6031965302,0.9996540400,0.9996441554,0.0000515249,740,0.0381284397,0.6121520617,marginally_significant,ranked_summary
sin_theta_C,√(ζ(7)/b₂),0.2191270000,0.2254000000,2.7800000000,0.0010000000,2,1,-13.6864477542,30.9838134211,29.3728955084,0.9992271600,0.9992050789,0.0000000004,740,0.0000002739,0.4814165043,highly_significant,ranked_summary
m_d,ζ(13) × ζ(19) × delta_F,4.6697874688,4.6700000000,0.0045509892,,5,2,,,,0.9999999979,0.9999999978,,740,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,ζ(13) × ζ(21) × delta_F,4.6697803213,4.6700000000,0.0047040415,,5,2,,,,0.9999999978,0.9999999977,,740,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,ζ(13) × ζ(15) × delta_F,4.6698304891,4.6700000000,0.0036297828,,5,2,,,,0.9999999987,0.9999999986,,740,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,ζ(13) × ζ(17) × delta_F,4.6698017989,4.6700000000,0.0042441358,,5,2,,,,0.9999999982,0.9999999981,,740,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,(ζ(13)/ζ(19)) × delta_F,4.6697589008,4.6700000000,0.0051627233,,5,2,,,,0.9999999973,0.9999999972,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,(ζ(13)/ζ(17)) × delta_F,4.6697445709,4.6700000000,0.0054695738,,5,2,,,,0.9999999970,0.9999999968,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,(ζ(13)/ζ(15)) × delta_F,4.6697158811,4.6700000000,0.0060839155,,5,2,,,,0.9999999963,0.9999999961,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta
n_s,ζ(11)/ζ(5),0.9648639297,0.9648000000,0.0066262088,,3,1,,,,0.9999999956,0.9999999955,,740,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,ζ(15) × ζ(17) × delta_F,4.6692875172,4.6700000000,0.0152565900,,5,2,,,,0.9999999767,0.9999999754,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(15) × ζ(19) × delta_F,4.6692731888,4.6700000000,0.0155634095,,5,2,,,,0.9999999758,0.9999999744,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(15) × ζ(21) × delta_F,4.6692660420,4.6700000000,0.0157164450,,5,2,,,,0.9999999753,0.9999999738,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(15) × delta_F,4.6692589063,4.6700000000,0.0158692433,,3,1,,,,0.9999999748,0.9999999741,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(15)/ζ(21)) × delta_F,4.6692517707,4.6700000000,0.0160220414,,5,2,,,,0.9999999743,0.9999999728,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(15)/ζ(19)) × delta_F,4.6692446239,4.6700000000,0.0161750762,,5,2,,,,0.9999999738,0.9999999723,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(17) × ζ(19) × delta_F,4.6692445019,4.6700000000,0.0161776892,,5,2,,,,0.9999999738,0.9999999723,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(17) × ζ(21) × delta_F,4.6692373552,4.6700000000,0.0163307238,,5,2,,,,0.9999999733,0.9999999718,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(15)/ζ(17)) × delta_F,4.6692302956,4.6700000000,0.0164818930,,5,2,,,,0.9999999728,0.9999999712,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(17) × delta_F,4.6692302196,4.6700000000,0.0164835212,,3,1,,,,0.9999999728,0.9999999721,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(13) × delta_F,4.6697731848,4.6700000000,0.0048568567,,3,1,,,,0.9999999976,0.9999999976,,740,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,(ζ(13)/ζ(21)) × delta_F,4.6697660483,4.6700000000,0.0050096716,,5,2,,,,0.9999999975,0.9999999973,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta
m_d,ζ(19) × ζ(21) × delta_F,4.6692230269,4.6700000000,0.0166375400,,5,2,,,,0.9999999723,0.9999999707,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(17)/ζ(21)) × delta_F,4.6692230839,4.6700000000,0.0166363183,,5,2,,,,0.9999999723,0.9999999707,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(17)/ζ(19)) × delta_F,4.6692159373,4.6700000000,0.0167893522,,5,2,,,,0.9999999718,0.9999999702,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,ζ(19) × delta_F,4.6692158913,4.6700000000,0.0167903370,,3,1,,,,0.9999999718,0.9999999710,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
